personaA,personaB,isMirror,matches,winsA,winsB,draws,winRateA
aggressor,defender,false,10,5,5,0,0.500
aggressor,expansionist,false,10,5,0,5,0.500
aggressor,explorer,false,10,0,5,5,0.000
aggressor,merchant,false,10,0,5,5,0.000
aggressor,naval-strategist,false,10,10,0,0,1.000
aggressor,objective-rusher,false,10,5,5,0,0.500
aggressor,opportunist,false,10,5,5,0,0.500
defender,expansionist,false,10,5,0,5,0.500
defender,explorer,false,10,5,5,0,0.500
defender,merchant,false,10,0,5,5,0.000
defender,naval-strategist,false,10,10,0,0,1.000
defender,objective-rusher,false,10,5,5,0,0.500
defender,opportunist,false,10,5,5,0,0.500
expansionist,explorer,false,10,0,5,5,0.000
expansionist,merchant,false,10,0,5,5,0.000
expansionist,naval-strategist,false,10,0,5,5,0.000
expansionist,objective-rusher,false,10,0,5,5,0.000
expansionist,opportunist,false,10,0,5,5,0.000
explorer,merchant,false,10,0,5,5,0.000
explorer,naval-strategist,false,10,5,5,0,0.500
explorer,objective-rusher,false,10,5,0,5,0.500
explorer,opportunist,false,10,5,0,5,0.500
merchant,naval-strategist,false,10,5,0,5,0.500
merchant,objective-rusher,false,10,5,0,5,0.500
merchant,opportunist,false,10,5,0,5,0.500
naval-strategist,objective-rusher,false,10,5,5,0,0.500
naval-strategist,opportunist,false,10,5,5,0,0.500
objective-rusher,opportunist,false,10,5,5,0,0.500
